ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000067900,0.74,1.38,1.13,1.67,2.19,NONE,UP
ENSG00000146648,0.42,0.74,1.28,-0.11,2.19,UP,UP
ENSG00000169057,1.08,0.99,0.79,0.77,2.18,NONE,NONE
ENSG00000107874,-0.43,-1.24,-1.19,-1.2,-2.18,NONE,NONE
ENSG00000160075,2.09,2.18,0.5,3.2,2.17,NONE,NONE
ENSG00000213281,-0.25,-0.78,0.2,-0.42,-2.17,NONE,NONE
ENSG00000147601,-0.59,-2.3,-0.24,-0.2,-2.17,NONE,NONE
ENSG00000029993,-1.25,-1.8,-0.77,-0.38,-2.17,NONE,DOWN
ENSG00000137764,-0.23,-0.81,-0.85,-0.61,-2.16,NONE,NONE
ENSG00000131778,1.06,1.74,1.94,0.52,2.16,DOWN,NONE
ENSG00000175387,0.94,1.87,3.59,0.71,2.15,NONE,NONE
ENSG00000068024,1.3,1.76,1.48,0.83,2.13,NONE,NONE
ENSG00000214517,-0.94,-0.75,-3.71,-0.85,-2.13,DOWN,DOWN
ENSG00000026025,1.18,1.64,3.14,0.24,2.13,UP,UP
ENSG00000143384,0.24,0.64,1.52,-0.18,2.12,NONE,UP
ENSG00000221869,0.16,0.57,0.2,0.04,2.12,UP,UP
ENSG00000164985,-0.81,-0.58,-0.93,-0.62,-2.1,NONE,NONE
ENSG00000092445,1,1.16,0,1.21,2.1,NONE,NONE
ENSG00000089157,-1.34,-1.42,0.01,-0.37,-2.1,NONE,NONE
ENSG00000120833,0.51,2.05,0.67,0.52,2.09,NONE,NONE
ENSG00000205364,0.83,0.98,1.92,2.08,2.08,UP,UP
ENSG00000198959,0.03,0.58,1.03,0.11,2.07,UP,UP
ENSG00000141526,0.62,0.46,1.75,0.51,2.07,NONE,NONE
ENSG00000143799,1.16,1.15,3.04,0.15,2.05,UP,NONE
ENSG00000111674,-0.44,-0.82,-1.29,-0.32,-2.05,NONE,DOWN
ENSG00000077782,0.6,1.11,2.22,-0.4,2.04,NONE,UP
ENSG00000130204,-0.34,-2.24,-2.47,-0.41,-2.03,NONE,NONE
ENSG00000163932,-0.5,-1.88,-0.9,-0.48,-2.01,NONE,DOWN
ENSG00000187193,0.56,0.6,1.69,1.72,2.01,NONE,UP
ENSG00000152495,-0.25,-1.16,-1.21,-0.09,-2,NONE,DOWN
ENSG00000168918,0.8,1.76,2.15,0.51,1.99,NONE,UP
ENSG00000077150,0.17,0.61,0.72,-0.09,1.98,UP,UP
ENSG00000117632,-0.8,-1.28,-2.21,-1.83,-1.98,NONE,NONE
ENSG00000121653,2.22,2.09,1.36,1.41,1.98,NONE,NONE
ENSG00000104936,2.32,0.67,2.54,2.5,1.97,NONE,NONE
ENSG00000159200,0.76,1.31,0.79,0.39,1.95,NONE,NONE
ENSG00000185420,-1.36,-0.46,-4.15,0.34,-1.93,NONE,DOWN
ENSG00000204580,0.95,0.72,3.27,0.11,1.92,NONE,UP
ENSG00000170989,0.59,0.97,2.02,-0.12,1.92,NONE,UP
ENSG00000125966,-0.4,-0.95,-2.23,0.11,-1.92,NONE,NONE
ENSG00000071626,0.15,0.53,0.21,0.28,1.91,NONE,NONE
ENSG00000067225,0.03,-0.41,-0.48,-0.89,-1.9,NONE,NONE
ENSG00000111344,-0.13,-1.6,-0.4,-1.12,-1.9,DOWN,DOWN
ENSG00000205358,1.83,1.06,2.05,2.94,1.9,NONE,NONE
ENSG00000188130,-0.94,-2.11,-1.05,-1.18,-1.9,NONE,NONE
ENSG00000124762,0.12,0.33,1.13,0.21,1.89,UP,UP
ENSG00000177889,-1.16,-0.82,-2.43,-0.19,-1.88,NONE,DOWN
ENSG00000147050,0.49,1.25,2.37,0.23,1.88,NONE,NONE
ENSG00000130164,0.21,1.07,0.74,-0.36,1.88,NONE,UP
ENSG00000151422,1.21,1.14,0.92,0.61,1.87,NONE,NONE
ENSG00000120053,-0.86,-0.41,-1.79,-1.3,-1.87,NONE,NONE
ENSG00000104518,0.82,0.53,1.43,0.85,1.87,NONE,UP
ENSG00000118263,0.47,1.07,1.23,0,1.87,NONE,NONE
ENSG00000168283,0.77,2.03,2.32,0.52,1.85,NONE,NONE
ENSG00000242247,0.18,0.63,2.02,0.34,1.85,NONE,NONE
ENSG00000157168,-1.41,-0.71,-2.67,-1.99,-1.85,NONE,DOWN
ENSG00000123143,0.74,1.02,0.94,2.01,1.84,NONE,NONE
ENSG00000163739,0.01,0.33,0.48,0.6,1.84,UP,UP
ENSG00000128487,1.93,1.28,2.78,0.75,1.84,NONE,NONE
ENSG00000132646,0.17,1.97,0.94,0.41,1.84,NONE,NONE
ENSG00000186318,-0.06,-1.04,0.5,-1.27,-1.83,NONE,NONE
ENSG00000111252,0.23,2.07,0.6,0.27,1.83,NONE,NONE
ENSG00000026508,0.64,0.55,4.77,0.64,1.83,UP,UP
ENSG00000168395,0.81,1.35,1.23,0.64,1.82,NONE,NONE
ENSG00000171132,-0.81,-0.98,-2.07,-0.83,-1.8,NONE,DOWN
ENSG00000170855,-0.38,-1.09,-0.87,-0.33,-1.8,NONE,NONE
ENSG00000110092,-0.31,-0.58,-0.41,-2.24,-1.8,NONE,NONE
ENSG00000160789,1.34,1.43,3.78,0.29,1.79,NONE,NONE
ENSG00000183454,-0.5,-0.87,-2.28,-0.15,-1.78,UP,DOWN
ENSG00000120896,0.55,0.36,1.68,0.57,1.77,NONE,NONE
ENSG00000164111,0.68,2,2.36,0.49,1.77,NONE,UP
ENSG00000072310,1.1,0.4,1.74,0.76,1.77,DOWN,NONE
ENSG00000182240,-0.01,0.21,0.79,0.59,1.77,UP,UP
ENSG00000186951,1.51,0.43,2.68,0.31,1.76,NONE,UP
ENSG00000113575,-1.04,-1.17,-1.36,-1.49,-1.76,NONE,NONE
ENSG00000105755,-0.73,-1.12,-0.12,-0.68,-1.76,NONE,NONE
ENSG00000135404,1.25,0.65,1.71,0.88,1.75,NONE,UP
