ID,logFC_SNCA_Apex,Direction_SNCA_DEG,logFC_SNCA_Pvalue,custom_color_test
ENSG00000151276,0.24675,0,0.674082109,yellow
ENSG00000120549,0.28575,0,0.667470198,blue
ENSG00000111716,0.27125,0,0.660622496,green
ENSG00000198231,0.30825,0,0.658031444,red
ENSG00000165704,0.24175,0,0.653936053,yellow
ENSG00000166913,0.25275,0,0.646960899,blue
ENSG00000159082,0.23575,0,0.638501948,green
ENSG00000167378,0.24225,0,0.628608018,red
ENSG00000176986,0.22875,0,0.61418435,yellow
ENSG00000138443,0.24925,0,0.61108334,blue
ENSG00000117758,0.23125,0,0.60919193,green
