ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles
ENSG00000115514,-0.54,-0.95,-0.28,-1.3
ENSG00000136709,0.09,0.45,0.25,0.11
ENSG00000154518,NA,NA,NA,NA
ENSG00000082153,0.14,0.1,1.23,0.11
ENSG00000077232,-2.66,-1.43,-1.71,-3.35
ENSG00000119013,-0.45,-0.02,-0.37,-0.09
ENSG00000115233,-1.43,-0.19,-2.05,-0.35
ENSG00000127837,0.65,-0.08,1.05,0.07
ENSG00000123983,-0.82,-1.48,-0.52,-1.57
ENSG00000198612,-1.3,-0.47,-0.87,-2.11
ENSG00000172428,NA,NA,NA,NA
ENSG00000135930,0.01,-0.9,-0.16,-0.17
ENSG00000144567,NA,NA,NA,NA
ENSG00000163481,-0.04,-1.07,-1.02,0.54
ENSG00000144451,-1.41,-0.38,-0.48,-0.19
ENSG00000115661,-0.41,-1.25,-0.7,-0.81
ENSG00000158552,0.38,0.18,-0.18,0.63
ENSG00000197548,-0.54,-1.73,-0.86,-0.97
ENSG00000134107,-0.19,0.93,-0.08,-0.96
ENSG00000187118,-0.17,0.14,-0.31,-0.59
ENSG00000113851,-0.95,-0.04,-0.77,-1.83
ENSG00000125037,-1.48,-3.15,-1.88,-2.05
ENSG00000075914,-1.1,-2.52,-2.72,-0.79
ENSG00000114745,0.11,-0.18,1.18,-0.89
ENSG00000181061,-1.3,-0.28,-0.81,-1.3
ENSG00000170860,-1.42,-0.51,-2.69,-0.04
ENSG00000151093,-0.41,0.04,-0.93,0.15
ENSG00000070950,NA,NA,NA,NA
ENSG00000174748,-2.21,-0.91,-0.6,-2.6
ENSG00000168137,0.05,0.7,0.04,-1.04
ENSG00000008324,-0.38,0.24,-1.21,0.16
ENSG00000170142,-0.43,0.48,0.02,-0.2
ENSG00000164062,-0.24,-1.71,-2.35,-0.99
ENSG00000160799,0.06,-0.76,-0.63,1.03
ENSG00000164051,-0.05,-0.23,-0.49,0.29
ENSG00000163832,0.2,-0.34,-0.18,0.29
ENSG00000016864,-1.48,-1.48,-1.78,-2.66
ENSG00000163938,-1.08,-1.59,-1.63,-1.47
ENSG00000163376,NA,NA,NA,NA
ENSG00000088727,-2.51,-1.14,-2.67,-1.19
ENSG00000178057,-0.52,-0.58,-2.08,-0.35
ENSG00000114388,-1.02,-0.19,-2.2,-0.06
ENSG00000168291,-0.6,-0.08,-0.87,-0.05
ENSG00000163636,-0.16,0.63,0.13,-0.4
ENSG00000162244,-2.05,-0.94,-0.71,-1.13
ENSG00000114902,-3.15,-2.15,-3.79,-2.45
ENSG00000164081,-0.16,-1.29,-0.63,0.85
ENSG00000129055,-1.13,-0.13,-1.43,0.08
ENSG00000184220,NA,NA,NA,NA
ENSG00000241278,NA,NA,NA,NA
ENSG00000073111,NA,NA,NA,NA
ENSG00000114686,-1.35,-1.49,-1.32,-1.81
ENSG00000114021,-0.86,-0.76,-1.38,-1.03
ENSG00000170854,NA,NA,NA,NA
ENSG00000251474,-0.07,-1.78,0.15,-0.49
ENSG00000121542,NA,NA,NA,NA
ENSG00000154174,NA,NA,NA,NA
ENSG00000174173,0.01,-1.24,-0.41,0.49
ENSG00000081307,-0.63,-0.96,-0.26,-2.88
ENSG00000175054,-2.04,-0.7,-3.17,-0.64
ENSG00000205981,-4.1,-1.55,-3.77,-1.72
ENSG00000068885,0.08,0.03,0.27,-0.28
ENSG00000175110,-0.94,-0.61,-1.52,-1.91
ENSG00000136521,-2.12,-2.7,-3.88,-2.09
ENSG00000155893,NA,NA,NA,NA
ENSG00000177565,0.31,-0.87,0.01,-0.48
ENSG00000058056,NA,NA,NA,NA
ENSG00000156931,-2.84,-1.29,-3.15,-3.43
ENSG00000169020,NA,NA,NA,NA
ENSG00000156976,-0.75,-0.61,-0.6,-0.6
ENSG00000125386,1.15,1.88,0.46,1.18
ENSG00000109519,0.01,-0.23,-0.26,0.01
ENSG00000214367,0.3,0.54,2.1,0.24
ENSG00000114473,0.32,0.15,0.42,-0.1
ENSG00000179010,-0.53,-0.19,0.02,-1.38
ENSG00000270170,NA,NA,NA,NA
ENSG00000198836,-1.71,-1.73,-4.6,-0.64
ENSG00000163923,-1.14,-1.04,-1.26,-2.56
ENSG00000119231,0.38,0.05,0.27,0.33
ENSG00000065882,1.35,3.67,0.73,1.49
ENSG00000132466,0.54,0.82,0.28,2.24
ENSG00000138663,-0.98,-0.92,-0.44,-2.43
ENSG00000109184,-1.08,-0.4,-1.06,-2.05
ENSG00000145293,-1.15,-0.28,-0.78,-1.56
ENSG00000189157,-1.51,-0.48,-1.43,-0.33
ENSG00000163288,0.87,-1.04,-0.02,0.01
ENSG00000132463,-0.24,-0.41,0.13,-1.23
ENSG00000151806,-0.18,-1.83,-1.43,-0.34
ENSG00000145332,0.35,0.14,-0.27,0.66
ENSG00000169288,0.02,-0.23,-1.4,0.95
ENSG00000170448,-0.47,0,0.1,0.44
ENSG00000047315,-0.06,0.1,-0.09,-0.36
ENSG00000163743,-0.09,0.16,0.02,-0.38
ENSG00000163682,-0.01,-0.55,0.26,0.2
ENSG00000014824,-0.94,-1.06,-0.65,-1.42
ENSG00000163625,0.22,0.73,1.11,-0.41
ENSG00000164163,-1.47,-1.1,-0.59,-2.52
ENSG00000151458,NA,NA,NA,NA
ENSG00000188517,NA,NA,NA,NA
ENSG00000170390,0.5,0.92,0.89,0.82
ENSG00000077684,NA,NA,NA,NA
ENSG00000138688,-0.11,0.47,1.05,-0.72
ENSG00000138709,-0.37,-0.96,-0.65,0.4
ENSG00000109390,-0.19,0.81,-0.11,0.45
ENSG00000138698,-0.43,-0.33,-0.35,-1.22
ENSG00000153130,-1.62,-1.79,-1.69,-1.96
ENSG00000138802,0.21,0.87,0.98,-0.55
ENSG00000269893,NA,NA,NA,NA
ENSG00000028310,-2.23,-4.82,-1.92,-0.64
ENSG00000169862,1.16,2.08,2.47,0.15
ENSG00000180104,0.1,0.08,0.24,-0.27
ENSG00000171421,-0.2,0.65,-1.29,0.4
ENSG00000145494,-0.38,-0.84,-2.75,-0.11
ENSG00000113569,-0.44,-0.92,-0.28,-1.36
ENSG00000249915,-2.41,-2.82,-3.04,-2.82
ENSG00000154153,NA,NA,NA,NA
ENSG00000129128,-0.97,-1.16,-0.89,-1.04
ENSG00000113387,-1.64,-1.57,-1.81,-1.68
ENSG00000164252,0.04,-0.29,-0.34,0.37
ENSG00000049167,-0.42,1.56,0.02,0.01
ENSG00000112972,-0.98,-0.43,-0.46,-2.95
ENSG00000086200,-0.39,-0.08,-0.01,0.04
ENSG00000164258,-0.88,-0.41,-0.52,-1.72
ENSG00000067113,NA,NA,NA,NA
ENSG00000049883,-0.51,-1.11,-0.34,-1.47
ENSG00000058729,0.3,0,0,-0.14
ENSG00000145740,-0.17,-0.16,-0.28,0.57
ENSG00000177058,-0.26,-1.85,-0.41,-0.26
ENSG00000171530,-1.26,-0.83,-2.76,-1.04
ENSG00000164180,-1.39,-2.53,-1.2,-1.54
ENSG00000131732,-2.02,-0.49,-1.78,0.09
ENSG00000172262,-0.01,-0.18,0.02,0.22
ENSG00000164398,-1.28,-0.76,-0.67,-1.11
ENSG00000094880,-2.42,-1.38,-2.87,-1.48
ENSG00000113552,0.05,-0.83,-0.39,-0.18
ENSG00000113648,-1.09,-0.73,-0.53,-1.05
ENSG00000112855,-0.89,-3.45,-1.3,-3.33
ENSG00000169567,-0.92,-0.1,-1.44,-0.62
ENSG00000120733,0.45,0.83,1.55,0.55
ENSG00000131495,-0.8,-0.39,-2.19,-0.02
ENSG00000145725,-2.12,-0.88,-1.33,-0.84
ENSG00000158987,-0.24,0.25,-0.28,-0.32
ENSG00000013561,-0.22,-0.53,-0.21,-0.21
ENSG00000113615,NA,NA,NA,NA
ENSG00000113558,-0.78,-0.69,-0.1,-3.08
ENSG00000205302,0.03,0.52,1.1,-0.41
ENSG00000151304,NA,NA,NA,NA
ENSG00000113621,-0.98,-2.47,-1.57,-1.44
ENSG00000164405,0.46,0.72,-0.56,0.43
ENSG00000134987,NA,NA,NA,NA
ENSG00000120314,1.16,2.04,2.54,0.72
ENSG00000155329,-0.12,-1.06,-0.29,0.25
ENSG00000146007,0.6,-0.78,0.19,-0.14
ENSG00000137274,-0.29,-0.66,-0.97,0.34
ENSG00000124802,-1.15,-0.64,-1.31,-0.11
ENSG00000146067,0.19,0.78,-0.45,1.31
ENSG00000145912,-1.78,-2.26,-2.28,-1.66
ENSG00000181163,-1.72,-0.58,0.17,-0.8
ENSG00000204628,NA,NA,NA,NA
ENSG00000037241,-0.91,-0.07,-2.51,-0.14
ENSG00000164587,-0.32,-0.14,-0.85,0.27
ENSG00000137266,2.17,1.88,2.81,0.55
ENSG00000164296,-0.19,0.2,-0.53,0.17
ENSG00000146109,0.36,-0.41,-0.12,1.08
ENSG00000112149,-0.29,-0.23,-2.34,-0.09
ENSG00000124610,NA,NA,NA,NA
ENSG00000277075,NA,NA,NA,NA
ENSG00000273802,NA,NA,NA,NA
ENSG00000197903,0.2,1.03,0.4,0.65
ENSG00000185130,NA,NA,NA,NA
ENSG00000275714,NA,NA,NA,NA
ENSG00000278828,NA,NA,NA,NA
ENSG00000197061,0.5,-0.27,-0.09,2.08
ENSG00000277157,NA,NA,NA,NA
ENSG00000274618,NA,NA,NA,NA
ENSG00000276180,NA,NA,NA,NA
ENSG00000225921,-0.08,0.22,0.19,-0.04
ENSG00000124789,-0.74,0.37,-0.08,-0.78
ENSG00000197062,NA,NA,NA,NA
ENSG00000064999,-0.06,0.92,0.74,-0.45
ENSG00000112578,-0.9,-1.23,-1.7,-0.57
ENSG00000198937,0.19,0.06,0.35,0.82
ENSG00000096401,-0.19,-1.13,-0.89,-0.05
ENSG00000112667,NA,NA,NA,NA
ENSG00000124767,-1.72,-0.4,-0.87,-1.7
ENSG00000146151,-0.89,-0.46,-2.05,-0.79
ENSG00000137171,0.41,1.95,0.1,1.77
ENSG00000124688,-0.05,-0.36,-0.17,-0.81
ENSG00000124733,-1.16,-0.21,-2.71,-0.43
ENSG00000112651,-1.57,-1.89,-4.28,-1.63
ENSG00000096080,-1.39,-1.64,-2.9,-1.9
ENSG00000171453,0.01,-0.24,-0.43,0.25
ENSG00000112130,0.77,0.13,-0.07,1.06
ENSG00000198755,-0.86,-0.23,0.05,-0.86
ENSG00000124541,0.27,-0.07,-0.46,-0.03
ENSG00000124562,-0.19,-1.32,-0.47,-0.02
ENSG00000124659,-0.05,-0.3,-0.99,0.03
ENSG00000096092,-0.92,-0.53,-1.59,-1.25
ENSG00000137207,-0.05,0.15,-0.05,-0.29
ENSG00000057663,-0.17,0.04,-0.82,-0.12
ENSG00000112695,-0.77,0.04,-0.33,0.1
ENSG00000083099,0.25,-0.19,-0.13,0.21
ENSG00000135549,-1.06,-0.34,-2.06,-0.36
ENSG00000132424,0.39,1.25,0.81,0.65
ENSG00000111850,NA,NA,NA,NA
ENSG00000203875,-0.17,0.51,0.34,-0.12
ENSG00000135317,-0.81,-0.14,-0.64,0.09
ENSG00000079950,-0.44,0.06,0.08,-0.54
ENSG00000146386,-1.76,-0.69,-2.81,-0.3
ENSG00000120437,-0.18,0.72,-0.1,-0.52
ENSG00000106263,1.11,-0.06,1.53,1.99
ENSG00000272047,-0.46,-1.96,-1.05,-0.19
ENSG00000214960,NA,NA,NA,NA
ENSG00000002822,-0.37,-0.53,-0.99,0.79
ENSG00000189043,-0.4,0.76,-0.99,0.02
ENSG00000106268,-0.11,0.04,0.26,-0.02
ENSG00000106443,0.32,-0.21,-0.04,0.56
ENSG00000131013,-0.05,-0.21,-0.24,0
ENSG00000157778,-0.09,-0.95,-2.01,-0.05
ENSG00000106399,-2.03,-0.37,-3.51,-1.25
ENSG00000169976,-0.55,-1.21,-0.71,-0.11
ENSG00000164828,-0.72,-0.16,0.03,-1.87
ENSG00000131018,-0.71,-0.45,-0.75,-0.29
ENSG00000105849,0.25,-1.47,-0.05,0.64
ENSG00000009844,-1.61,-1.6,-2,-1.39
ENSG00000136247,-0.27,-0.38,-0.21,-0.23
ENSG00000178381,-0.65,-0.6,-1.68,-0.33
ENSG00000164631,0.12,-0.2,0.32,-0.26
ENSG00000105778,-1.73,-0.67,-2.54,-0.95
ENSG00000169193,-0.11,0.63,-0.19,-0.2
ENSG00000146731,-1.44,-0.83,-0.91,-1.93
ENSG00000065883,0.5,2.14,0.44,0.61
ENSG00000106153,-1.63,-1.58,-0.82,-2.27
ENSG00000106603,-3.4,-0.9,-4.05,-2.11
ENSG00000227855,NA,NA,NA,NA
ENSG00000122557,-1.14,-0.73,-0.17,-0.96
ENSG00000122566,0.95,1.72,2.24,0.18
ENSG00000136273,0.08,0.28,0.8,-0.03
ENSG00000106591,-1.23,-0.24,-2.5,-0.86
ENSG00000146729,NA,NA,NA,NA
ENSG00000196262,0.01,1.07,-0.24,0.36
ENSG00000106588,-0.65,0.27,-0.33,-0.38
ENSG00000232956,-2.1,-2.68,-1.66,-0.64
ENSG00000136270,0.4,-0.72,-0.14,0.06
ENSG00000164548,0.59,0.32,0.81,-0.52
ENSG00000221838,-0.06,-0.3,-1.06,-0.04
ENSG00000241468,NA,NA,NA,NA
ENSG00000071462,NA,NA,NA,NA
ENSG00000106245,0.02,-0.35,-0.16,0.05
ENSG00000274070,NA,NA,NA,NA
ENSG00000106665,3.76,6.79,4.12,2.37
ENSG00000006704,0.83,0.01,0.08,2.33
ENSG00000105793,-1.48,-1.46,-1.48,-2.19
ENSG00000128581,NA,NA,NA,NA
ENSG00000005483,NA,NA,NA,NA
ENSG00000001631,-0.7,-0.31,-0.06,-0.62
ENSG00000188186,NA,NA,NA,NA
ENSG00000161036,0.35,0.24,-0.3,0.4
ENSG00000187391,0.04,-0.34,0.06,-0.8
ENSG00000130305,-1.44,-0.69,-1.32,-1.08
ENSG00000106244,-0.14,0.1,-0.08,-0.59
ENSG00000005075,-0.17,-0.55,-0.29,0.09
ENSG00000172336,-0.27,-0.84,-1.64,0.15
ENSG00000160813,-0.96,-1.4,-2.3,-0.15
ENSG00000161057,-0.25,0.53,-0.08,-0.53
ENSG00000274523,NA,NA,NA,NA
ENSG00000049541,-1.85,-1.73,-2.68,-1.21
ENSG00000196636,NA,NA,NA,NA
ENSG00000127990,0.28,1.78,1.89,0.17
ENSG00000006128,-1.33,-2.48,-1.81,-1.08
ENSG00000106638,-0.12,-0.64,0.08,-0.46
ENSG00000196367,0.24,1.47,0.48,-0.04
ENSG00000004766,NA,NA,NA,NA
ENSG00000106400,-0.63,-0.82,-0.21,0.19
ENSG00000004059,-1.48,-2.79,-3.26,-0.45
ENSG00000128524,-0.03,0.23,-0.99,0.67
ENSG00000198898,0.21,0.65,1.34,-0.04
ENSG00000106477,-1.05,-2.72,-2.52,-2.02
ENSG00000281490,NA,NA,NA,NA
ENSG00000225572,NA,NA,NA,NA
ENSG00000205085,-0.21,-1.2,0.22,0.25
ENSG00000133606,-0.31,-0.07,-0.74,-0.12
ENSG00000090263,-0.4,-0.46,-1.28,0.16
ENSG00000128609,-3.47,-1.62,-3.06,-2.21
ENSG00000090266,-0.26,0.29,-0.32,-0.4
ENSG00000106459,-0.1,0.57,-0.59,-0.6
ENSG00000157800,-0.53,0.54,-0.45,0.05
ENSG00000262771,-0.75,0.05,-0.93,-0.03
ENSG00000196511,NA,NA,NA,NA
ENSG00000104763,-1.57,-0.75,-0.81,-2.72
ENSG00000147439,-0.29,-0.94,-0.59,-0.26
ENSG00000198791,-0.24,-0.52,-0.09,-0.64
ENSG00000104671,-0.65,-0.1,-0.17,-0.83
ENSG00000134014,-0.24,-1.37,-0.78,-0.33
ENSG00000178234,-2.69,-3.49,-3.03,-2.18
ENSG00000147421,3.57,4.39,2.84,4.27
ENSG00000003987,-0.95,-0.62,-1.12,-1.15
ENSG00000184863,0.01,1.3,-0.1,0.11
ENSG00000009335,0.01,-0.05,-0.22,-0.58
ENSG00000104691,-0.43,-1.09,-1.59,-0.56
ENSG00000133624,NA,NA,NA,NA
ENSG00000070718,-0.7,-2.65,-1.6,-0.96
ENSG00000104221,-0.13,-1.77,-0.59,-0.51
ENSG00000170791,-2.29,-3.55,-1.54,-2.93
ENSG00000121022,-0.34,-0.51,-0.36,-1.05
ENSG00000154582,NA,NA,NA,NA
ENSG00000137563,-3.25,-0.64,-2.79,-0.85
ENSG00000198042,-1.03,-2.47,-0.91,-1.14
ENSG00000104320,-0.3,0.14,-0.02,0.35
ENSG00000140396,-0.25,0.2,-0.19,-0.53
ENSG00000181690,NA,NA,NA,NA
ENSG00000070501,-0.95,-0.21,-2.18,-0.27
ENSG00000147604,0.25,0.73,1.94,0.36
ENSG00000176209,NA,NA,NA,NA
ENSG00000164808,NA,NA,NA,NA
ENSG00000169490,-1.14,-2.5,-0.76,-2.03
ENSG00000167904,-0.64,-1.47,-0.62,-0.5
ENSG00000175073,-0.57,-0.51,-0.46,-0.05
ENSG00000104231,-1.37,-0.53,-1.33,-2.95
ENSG00000186106,-0.84,-0.79,-1.64,-0.29
ENSG00000155096,-0.32,-0.37,0.07,-1.44
ENSG00000164919,0.02,-0.49,-0.44,0.67
ENSG00000179091,-0.68,-0.29,-1.1,-0.88
ENSG00000164934,-0.39,-0.1,0.07,-1
ENSG00000136986,-0.12,0.42,0.33,-0.35
ENSG00000104408,0.03,-0.13,-0.04,0.57
ENSG00000178896,-0.19,-1.46,-1.04,-0.14
ENSG00000172172,-1.08,-0.64,-0.66,-1.69
ENSG00000156170,0,-0.97,-0.16,0.09
ENSG00000147684,0.69,2.08,0.53,1.08
ENSG00000129292,-0.31,-0.29,-0.61,0.6
ENSG00000147669,-2.24,-0.36,-2.79,-0.25
ENSG00000161016,-0.37,0.12,-1.29,0.28
ENSG00000080503,-0.98,-0.92,-1.74,-0.51
ENSG00000180543,-0.94,-1.6,-1.76,-0.26
ENSG00000278243,-0.67,-1.7,-1.81,-0.31
ENSG00000156467,-0.03,0.01,-0.76,-0.22
ENSG00000147852,0.03,-0.35,0.11,-1.04
ENSG00000156795,-0.15,-1.39,-0.35,-0.15
ENSG00000170631,-0.58,0.22,-1.44,-0.01
ENSG00000137124,-0.53,-0.86,-0.44,-0.69
ENSG00000137074,-1.48,-1.26,-1.12,-1.84
ENSG00000086065,-1.07,-0.05,-0.76,-1.37
ENSG00000137100,-0.98,-0.01,-0.97,-1.84
ENSG00000137133,-0.18,-0.14,-0.41,0.19
ENSG00000165264,-0.59,0.09,-0.82,-0.49
ENSG00000164967,0.38,-0.38,-0.41,0.9
ENSG00000165283,-0.01,-0.44,-0.37,0.24
ENSG00000165275,0.65,-0.53,0.88,0.01
ENSG00000198680,-0.02,-0.04,-0.77,0.15
ENSG00000156345,-1.09,-2.11,-2.77,-1.57
ENSG00000048828,-0.27,-0.09,0.17,-1.7
ENSG00000196305,-2.39,-1.69,-1.62,-3.57
ENSG00000197724,1.45,4.8,1.73,2.39
ENSG00000106803,-0.92,-0.18,-1.57,-0.82
ENSG00000136810,-0.75,-1.12,-2.41,-0.33
ENSG00000196597,NA,NA,NA,NA
ENSG00000136950,-0.74,-1.05,-1.55,0
ENSG00000203993,NA,NA,NA,NA
ENSG00000136888,-2.17,-1.46,-1.94,-1.02
ENSG00000160345,-0.04,-0.13,-1.6,0.99
ENSG00000136819,1.11,0.72,1.13,3.1
ENSG00000107223,-0.14,-0.51,-1.55,0.04
ENSG00000196205,NA,NA,NA,NA
ENSG00000204136,-0.03,-0.5,0.55,0.36
ENSG00000107937,-0.41,-1.07,-0.65,-0.46
ENSG00000188566,0.28,0.17,0.59,0.47
ENSG00000148335,-0.86,-1.47,-1.75,-1.58
