node1_eid,node2_eid,score
ENSG00000137801,ENSG00000142192,0.767331707671827
ENSG00000091831,ENSG00000142192,0.767331707671827
ENSG00000142192,ENSG00000198793,0.767331707671827
ENSG00000254647,ENSG00000142192,0.767331707671827
ENSG00000142192,ENSG00000171867,0.767331707671827
ENSG00000168610,ENSG00000134259,0.767331707671827
ENSG00000168610,ENSG00000128271,0.756057858788208
ENSG00000168610,ENSG00000167244,0.756057858788208
ENSG00000188906,ENSG00000080561,0.756057858788208
ENSG00000177807,ENSG00000176697,0.744100339692265
ENSG00000168610,ENSG00000141510,0.744100339692265
ENSG00000141510,ENSG00000168610,0.744100339692265
ENSG00000168610,ENSG00000140718,0.744100339692265
ENSG00000204305,ENSG00000142192,0.744100339692265
ENSG00000154727,ENSG00000100292,0.744100339692265
ENSG00000168610,ENSG00000100644,0.744100339692265
ENSG00000142192,ENSG00000166313,0.744100339692265
ENSG00000136244,ENSG00000168610,0.744100339692265
ENSG00000254647,ENSG00000168610,0.744100339692265
ENSG00000130203,ENSG00000142192,0.744100339692265
ENSG00000130203,ENSG00000142192,0.744100339692265
ENSG00000130203,ENSG00000142192,0.744100339692265
ENSG00000130203,ENSG00000142192,0.744100339692265
ENSG00000130203,ENSG00000142192,0.744100339692265
ENSG00000137642,ENSG00000142192,0.744100339692265
ENSG00000096717,ENSG00000142192,0.744100339692265
ENSG00000142192,ENSG00000106144,0.744100339692265
ENSG00000162711,ENSG00000142192,0.744100339692265
ENSG00000095970,ENSG00000142192,0.744100339692265
ENSG00000142192,ENSG00000107984,0.744100339692265
ENSG00000102081,ENSG00000142192,0.744100339692265
ENSG00000176884,ENSG00000142192,0.744100339692265
ENSG00000176884,ENSG00000142192,0.744100339692265
ENSG00000121351,ENSG00000142192,0.744100339692265
ENSG00000254647,ENSG00000142192,0.744100339692265
ENSG00000142192,ENSG00000109339,0.744100339692265
ENSG00000142192,ENSG00000186868,0.744100339692265
ENSG00000186868,ENSG00000142192,0.744100339692265
ENSG00000186868,ENSG00000142192,0.744100339692265
ENSG00000127445,ENSG00000142192,0.744100339692265
ENSG00000186318,ENSG00000142192,0.744100339692265
ENSG00000132356,ENSG00000142192,0.744100339692265
ENSG00000142192,ENSG00000055332,0.744100339692265
ENSG00000168610,ENSG00000163629,0.744100339692265
ENSG00000168610,ENSG00000208008,0.731370848343631
ENSG00000232810,ENSG00000116688,0.731370848343631
ENSG00000089737,ENSG00000141510,0.731370848343631
ENSG00000168610,ENSG00000165168,0.731370848343631
ENSG00000166313,ENSG00000142192,0.731370848343631
ENSG00000142192,ENSG00000196876,0.731370848343631
ENSG00000142192,ENSG00000123374,0.731370848343631
