"Node1","Node2","Score"
"ENSG00000124762","ENSG00000150907","0.2"
"ENSG00000179348","ENSG00000100985","0.1"
"ENSG00000162909","ENSG00000115008","0.3"
"ENSG00000171720","ENSG00000169429","0.9"
"ENSG00000142192","ENSG00000172757","0.3"
"ENSG00000197122","ENSG00000091831","0.9"
"ENSG00000133216","ENSG00000176884","0.3"
"ENSG00000169047","ENSG00000172757","0.2"
"ENSG00000154727","ENSG00000113575","0.2"
"ENSG00000181449","ENSG00000108691","0.1"
"ENSG00000171720","ENSG00000142208","0.3"
"ENSG00000100644","ENSG00000091831","0.2"
"ENSG00000120899","ENSG00000097007","0.2"
"ENSG00000174697","ENSG00000136244","0.9"
"ENSG00000100985","ENSG00000075624","0.2"
"ENSG00000091831","ENSG00000207935","0.3"
"ENSG00000136997","ENSG00000159216","0.1"
"ENSG00000164736","ENSG00000124216","0.2"
"ENSG00000130203","ENSG00000165029","0.3"
"ENSG00000179348","ENSG00000159217","0.2"
"ENSG00000182866","ENSG00000151490","0.2"
"ENSG00000112658","ENSG00000149311","0.1"
"ENSG00000164736","ENSG00000142208","0.2"
"ENSG00000232810","ENSG00000124762","0.9"
"ENSG00000168036",NA,"0.2"
"ENSG00000161011","ENSG00000100030","0.3"
"ENSG00000131759","ENSG00000023445","0.1"
"ENSG00000100219","ENSG00000171791","0.2"
"ENSG00000065978","ENSG00000140009","0.1"
"ENSG00000106546","ENSG00000152822","0.1"
"ENSG00000080824","ENSG00000132170","0.3"
"ENSG00000169083","ENSG00000148400","0.9"
"ENSG00000168036","ENSG00000067225","0.2"
"ENSG00000130203","ENSG00000105329","0.2"
"ENSG00000118260","ENSG00000113916","0.2"
"ENSG00000141510","ENSG00000105639","0.2"
"ENSG00000186716","ENSG00000134308","0.2"
"ENSG00000106546","ENSG00000164736","0.1"
"ENSG00000142208","ENSG00000134308","0.3"
"ENSG00000164885","ENSG00000080815","0.2"
"ENSG00000134308","ENSG00000169083","0.2"
"ENSG00000126767","ENSG00000132170","0.1"
"ENSG00000157540","ENSG00000148400","0.3"
"ENSG00000141510","ENSG00000067225","0.1"
"ENSG00000179295","ENSG00000159216","0.2"
"ENSG00000148400","ENSG00000172757","0.1"
"ENSG00000196689","ENSG00000232810","0.3"
"ENSG00000126351","ENSG00000167244","0.1"
"ENSG00000169083","ENSG00000012124","0.2"
"ENSG00000170606","ENSG00000104067","0.2"
"ENSG00000148400","ENSG00000162298","0.1"
"ENSG00000154229","ENSG00000213585","0.2"
"ENSG00000126767","ENSG00000082701","0.1"
"ENSG00000159216","ENSG00000111640","0.2"
"ENSG00000096717","ENSG00000039068","0.9"
"ENSG00000049768","ENSG00000089280","0.2"
"ENSG00000106546","ENSG00000134982","0.1"
"ENSG00000141510","ENSG00000091831","0.9"
"ENSG00000159216","ENSG00000134852","0.2"
"ENSG00000131759","ENSG00000099942","0.1"
"ENSG00000106546","ENSG00000142192","0.3"
"ENSG00000126767","ENSG00000105976","0.1"
"ENSG00000004487","ENSG00000148400","0.3"
"ENSG00000150907","ENSG00000100985","0.9"
"ENSG00000146648","ENSG00000163435","0.2"
"ENSG00000140009","ENSG00000176697","0.3"
"ENSG00000105329","ENSG00000291237","0.3"
"ENSG00000082701","ENSG00000169398","0.9"
"ENSG00000144891","ENSG00000105329","0.3"
"ENSG00000091831","ENSG00000123374","0.1"
"ENSG00000125398","ENSG00000146648","0.1"
"ENSG00000131910","ENSG00000136244","0.3"
"ENSG00000150907","ENSG00000017427","0.9"
"ENSG00000118260","ENSG00000115415","0.2"
"ENSG00000186868","ENSG00000142192","0.3"
"ENSG00000136826","ENSG00000105639","0.1"
"ENSG00000136997","ENSG00000185507","0.1"
"ENSG00000136997","ENSG00000131910","0.1"
"ENSG00000145386","ENSG00000164885","0.2"
"ENSG00000049768","ENSG00000124762","0.9"
"ENSG00000091831","ENSG00000207971","0.3"
"ENSG00000207971","ENSG00000148400","0.1"
"ENSG00000126767","ENSG00000140009","0.1"
"ENSG00000197442","ENSG00000118515","0.1"
"ENSG00000150907","ENSG00000130203","0.2"
"ENSG00000164736","ENSG00000164885","0.2"
"ENSG00000142192","ENSG00000232810","0.3"
"ENSG00000111640","ENSG00000067225","0.3"
"ENSG00000138069","ENSG00000142192","0.2"
"ENSG00000142192","ENSG00000134308","0.3"
"ENSG00000135346","ENSG00000291237","0.3"
"ENSG00000125398","ENSG00000073756","0.1"
"ENSG00000132170","ENSG00000109819","0.3"
"ENSG00000136997","ENSG00000179295","0.2"
"ENSG00000091831","ENSG00000186951","0.1"
"ENSG00000136826","ENSG00000109819","0.3"
"ENSG00000181449","ENSG00000083799","0.1"
"ENSG00000115415","ENSG00000106546","0.3"
"ENSG00000136826","ENSG00000100219","0.1"
"ENSG00000137486","ENSG00000121879","0.2"
"ENSG00000172757","ENSG00000075624","0.9"
"ENSG00000096717","ENSG00000142208","0.3"
"ENSG00000112658","ENSG00000017427","0.3"
"ENSG00000148400","ENSG00000075624","0.1"
"ENSG00000136826","ENSG00000125166","0.2"
"ENSG00000135346","ENSG00000170498","0.9"
"ENSG00000140009","ENSG00000100644","0.2"
"ENSG00000126561","ENSG00000152822","0.1"
"ENSG00000132170","ENSG00000145675","0.3"
"ENSG00000159216","ENSG00000146648","0.2"
"ENSG00000164305","ENSG00000121481","0.2"
"ENSG00000136869","ENSG00000131095","0.3"
"ENSG00000168610","ENSG00000265972","0.3"
"ENSG00000049768","ENSG00000132170","0.2"
"ENSG00000181449","ENSG00000159217","0.1"
"ENSG00000123374","ENSG00000168036","0.2"
"ENSG00000197122","ENSG00000007171","0.2"
"ENSG00000177455","ENSG00000113263","0.1"
"ENSG00000107643","ENSG00000118520","0.1"
"ENSG00000118260","ENSG00000186868","0.2"
"ENSG00000113575","ENSG00000118515","0.2"
"ENSG00000132170","ENSG00000112062","0.1"
"ENSG00000118260","ENSG00000168610","0.2"
"ENSG00000132170","ENSG00000180530","0.2"
"ENSG00000168610","ENSG00000123374","0.1"
"ENSG00000136869","ENSG00000064300","0.3"
"ENSG00000097007","ENSG00000113263","0.1"
"ENSG00000109320","ENSG00000094631","0.2"
"ENSG00000141510","ENSG00000213585","0.1"
"ENSG00000179295","ENSG00000145675","0.3"
"ENSG00000164736","ENSG00000136238","0.2"
"ENSG00000146648","ENSG00000165029","0.3"
"ENSG00000004487","ENSG00000130816","0.3"
"ENSG00000065978","ENSG00000140009","0.1"
"ENSG00000109471","ENSG00000185811","0.3"
"ENSG00000115415","ENSG00000134308","0.1"
"ENSG00000131910","ENSG00000165029","0.3"
"ENSG00000094631","ENSG00000112062","0.2"
"ENSG00000106546","ENSG00000196730","0.1"
"ENSG00000197122","ENSG00000159216","0.3"
"ENSG00000140443","ENSG00000108691","0.3"
"ENSG00000171720","ENSG00000185507","0.3"
"ENSG00000113916","ENSG00000157540","0.1"
"ENSG00000096717","ENSG00000112658","0.3"
"ENSG00000136826","ENSG00000164305","0.1"
"ENSG00000012124","ENSG00000145675","0.1"
"ENSG00000067900","ENSG00000172757","0.1"
"ENSG00000197122","ENSG00000181163","0.2"
"ENSG00000067900","ENSG00000134982","0.2"
"ENSG00000131910","ENSG00000100644","0.3"
"ENSG00000146648","ENSG00000165025","0.2"
"ENSG00000091831","ENSG00000134250","0.2"
"ENSG00000116030","ENSG00000291237","0.2"
NA,"ENSG00000140009","0.3"
"ENSG00000087470","ENSG00000142208","0.3"
"ENSG00000106546","ENSG00000111640","0.2"
"ENSG00000168036","ENSG00000106546","0.2"
"ENSG00000202569","ENSG00000169047","0.1"
"ENSG00000131759","ENSG00000131095","0.3"
"ENSG00000126351","ENSG00000116030","0.2"
"ENSG00000154229","ENSG00000176697","0.1"
"ENSG00000202569","ENSG00000112658","0.1"
"ENSG00000175104","ENSG00000136238","0.2"
"ENSG00000112062","ENSG00000111640","0.3"
"ENSG00000126561","ENSG00000118515","0.2"
"ENSG00000124216","ENSG00000121481","0.2"
"ENSG00000146648","ENSG00000100030","0.2"
"ENSG00000140443","ENSG00000137486","0.3"
"ENSG00000049768","ENSG00000112658","0.2"
"ENSG00000106546","ENSG00000181449","0.1"
"ENSG00000125845","ENSG00000181449","0.9"
"ENSG00000091831","ENSG00000176788","0.2"
"ENSG00000004487","ENSG00000109471","0.3"
"ENSG00000096717","ENSG00000112208","0.2"
"ENSG00000124216","ENSG00000080824","0.3"
"ENSG00000136826","ENSG00000181163","0.3"
"ENSG00000149311","ENSG00000118260","0.2"
"ENSG00000116044","ENSG00000140009","0.2"
"ENSG00000168036","ENSG00000097007","0.2"
"ENSG00000064300","ENSG00000100030","0.2"
"ENSG00000126351","ENSG00000118260","0.3"
"ENSG00000049768","ENSG00000148400","0.2"
"ENSG00000080824","ENSG00000141510","0.2"
"ENSG00000109320","ENSG00000181449","0.3"
"ENSG00000168610","ENSG00000080815","0.1"
"ENSG00000109320","ENSG00000118260","0.2"
"ENSG00000124216","ENSG00000073756","0.9"
"ENSG00000142208","ENSG00000094631","0.2"
"ENSG00000131910","ENSG00000109819","0.2"
"ENSG00000136826","ENSG00000179348","0.1"
"ENSG00000121481","ENSG00000115415","0.2"
"ENSG00000091831","ENSG00000116044","0.1"
"ENSG00000118260","ENSG00000196730","0.1"
"ENSG00000172977","ENSG00000125398","0.2"
"ENSG00000185811","ENSG00000150907","0.2"
"ENSG00000171720","ENSG00000007171","0.3"
"ENSG00000131759","ENSG00000162909","0.1"
"ENSG00000131095","ENSG00000186868","0.2"
"ENSG00000109471","ENSG00000091831","0.2"
"ENSG00000168036","ENSG00000137486","0.2"
"ENSG00000118260","ENSG00000176884","0.3"
"ENSG00000125398","ENSG00000109819","0.3"
"ENSG00000174697","ENSG00000135346","0.2"
"ENSG00000126767","ENSG00000154229","0.2"
"ENSG00000172757","ENSG00000075624","0.2"
"ENSG00000065978","ENSG00000048052","0.1"
"ENSG00000113575","ENSG00000154277","0.3"
"ENSG00000109320","ENSG00000106366","0.3"
"ENSG00000033800","ENSG00000125398","0.2"
