Node_1,Node_2,Score
ENSG00000158828,ENSG00000166233,0.005319149
ENSG00000158828,ENSG00000102043,0.005319149
ENSG00000158828,ENSG00000276231,0.005319149
ENSG00000158828,ENSG00000100330,0.005319149
ENSG00000158828,ENSG00000003987,0.005319149
ENSG00000158828,ENSG00000104067,0.005319149
ENSG00000158828,ENSG00000165264,0.005319149
ENSG00000158828,ENSG00000175387,0.005319149
ENSG00000158828,ENSG00000186318,0.005319149
ENSG00000158828,ENSG00000181092,0.005319149
ENSG00000158828,ENSG00000242252,0.005319149
ENSG00000158828,ENSG00000124813,0.005319149
ENSG00000158828,ENSG00000174903,0.005319149
ENSG00000158828,ENSG00000182606,0.005319149
ENSG00000158828,ENSG00000171720,0.005319149
ENSG00000158828,ENSG00000136159,0.005319149
ENSG00000158828,ENSG00000181220,0.005319149
ENSG00000158828,ENSG00000178952,0.005319149
ENSG00000158828,ENSG00000147896,0.005319149
ENSG00000158828,ENSG00000184995,0.005319149
ENSG00000158828,ENSG00000172116,0.005319149
ENSG00000158828,ENSG00000153563,0.005319149
ENSG00000158828,ENSG00000254126,0.005319149
ENSG00000158828,ENSG00000169813,0.005319149
ENSG00000158828,ENSG00000159640,0.005319149
ENSG00000158828,ENSG00000121577,0.005319149
ENSG00000158828,ENSG00000134644,0.005319149
ENSG00000158828,ENSG00000057663,0.005319149
ENSG00000158828,ENSG00000136874,0.005319149
ENSG00000158828,ENSG00000035664,0.005319149
ENSG00000158828,ENSG00000109424,0.005319149
ENSG00000158828,ENSG00000197444,0.005319149
ENSG00000158828,ENSG00000158517,0.005319149
ENSG00000158828,ENSG00000105472,0.005319149
ENSG00000158828,ENSG00000088833,0.005319149
ENSG00000158828,ENSG00000115956,0.005319149
ENSG00000158828,ENSG00000166851,0.005319149
ENSG00000158828,ENSG00000087586,0.005319149
ENSG00000158828,ENSG00000170312,0.005319149
ENSG00000158828,ENSG00000214253,0.005319149
ENSG00000158828,ENSG00000075785,0.005319149
ENSG00000158828,ENSG00000184979,0.005319149
ENSG00000158828,ENSG00000162692,0.005319149
ENSG00000158828,ENSG00000132535,0.005319149
