ID,custom_color,
ENSG00000153093,green,
ENSG00000103740,green,
ENSG00000130377,green,
ENSG00000167107,green,
ENSG00000176715,green,
ENSG00000151726,green,
ENSG00000123983,green,
ENSG00000068366,green,
ENSG00000197142,green,
ENSG00000164398,green,
ENSG00000166743,green,
ENSG00000005187,green,
ENSG00000215009,green,
ENSG00000183549,green,
ENSG00000154930,green,
ENSG00000131069,green,
ENSG00000198099,green,
ENSG00000197894,green,
ENSG00000196344,green,
ENSG00000181092,green,
ENSG00000159346,green,
ENSG00000006831,green,
ENSG00000111863,green,
ENSG00000135744,green,
ENSG00000146416,green,
ENSG00000142208,green,
ENSG00000105221,green,
ENSG00000072210,green,
ENSG00000125652,green,
ENSG00000108839,green,
ENSG00000179477,green,
ENSG00000161905,green,
ENSG00000132965,green,
ENSG00000179148,green,
ENSG00000132855,green,
ENSG00000163126,green,
ENSG00000107890,green,
ENSG00000135046,green,
ENSG00000136250,green,
ENSG00000118137,green,
ENSG00000110244,green,
ENSG00000110243,green,
ENSG00000234906,green,
ENSG00000136044,green,
ENSG00000188611,green,
ENSG00000116039,green,
ENSG00000148090,green,
ENSG00000101200,green,
ENSG00000166148,green,
ENSG00000136881,green,
ENSG00000164039,green,
ENSG00000012048,green,
ENSG00000145861,green,
ENSG00000240654,green,
ENSG00000125730,green,
ENSG00000105974,green,
ENSG00000145439,green,
ENSG00000135218,green,
ENSG00000019582,green,
ENSG00000118432,green,
ENSG00000110090,green,
ENSG00000205560,green,
ENSG00000169169,green,
ENSG00000157184,green,
ENSG00000095321,green,
ENSG00000005469,green,
ENSG00000165475,green,
ENSG00000134780,green,
ENSG00000164535,green,
ENSG00000155368,green,
ENSG00000104325,green,
ENSG00000242612,green,
ENSG00000143753,green,
ENSG00000143753,green,
ENSG00000185000,green,
ENSG00000062282,green,
ENSG00000091140,green,
ENSG00000104823,green,
ENSG00000093144,green,
ENSG00000121310,green,
ENSG00000134463,green,
ENSG00000127884,green,
ENSG00000167969,green,
ENSG00000198721,green,
ENSG00000078401,green,
ENSG00000127129,green,
ENSG00000113790,green,
ENSG00000172071,green,
ENSG00000242372,green,
ENSG00000066322,green,
ENSG00000197977,green,
ENSG00000119915,green,
ENSG00000118402,green,
ENSG00000012660,green,
ENSG00000170522,green,
ENSG00000164181,green,
ENSG00000120915,green,
ENSG00000178752,green,
ENSG00000107566,green,
ENSG00000147475,green,
ENSG00000140374,green,
ENSG00000105379,green,
ENSG00000139160,green,
ENSG00000171503,green,
ENSG00000103089,green,
ENSG00000103089,green,
ENSG00000117480,green,
ENSG00000163586,green,
ENSG00000145384,green,
ENSG00000121769,green,
ENSG00000170323,green,
ENSG00000164687,green,
ENSG00000149485,green,
ENSG00000134824,green,
ENSG00000274150,green,
ENSG00000221968,green,
ENSG00000172782,green,
ENSG00000169710,green,
ENSG00000105607,green,
ENSG00000100031,green,
ENSG00000099998,green,
ENSG00000121853,green,
ENSG00000159224,green,
ENSG00000198814,green,
ENSG00000116906,green,
ENSG00000119927,green,
ENSG00000186281,green,
ENSG00000158669,green,
ENSG00000165996,green,
ENSG00000206527,green,
ENSG00000074696,green,
ENSG00000188921,green,
ENSG00000131373,green,
ENSG00000138796,green,
ENSG00000084754,green,
ENSG00000138029,green,
ENSG00000101323,green,
ENSG00000116882,green,
ENSG00000135100,green,
ENSG00000101076,green,
ENSG00000164120,green,
ENSG00000163106,green,
ENSG00000133835,green,
ENSG00000128928,green,
ENSG00000174697,green,
ENSG00000121897,green,
ENSG00000107798,green,
ENSG00000166035,green,
ENSG00000079435,green,
ENSG00000102910,green,
ENSG00000123684,green,
ENSG00000134324,green,
ENSG00000101577,green,
ENSG00000132793,green,
ENSG00000175445,green,
ENSG00000120992,green,
ENSG00000011009,green,
ENSG00000112062,green,
ENSG00000100294,green,
ENSG00000116353,green,
ENSG00000074416,green,
ENSG00000008394,green,
ENSG00000165175,green,
ENSG00000240972,green,
ENSG00000009950,green,
ENSG00000103150,green,
ENSG00000198793,green,
ENSG00000197535,green,
ENSG00000138744,green,
ENSG00000141027,green,
ENSG00000004779,green,
ENSG00000145494,green,
ENSG00000082641,green,
ENSG00000131408,green,
ENSG00000025434,green,
ENSG00000119508,green,
ENSG00000070081,green,
ENSG00000152463,green,
ENSG00000151093,green,
ENSG00000145730,green,
ENSG00000125779,green,
ENSG00000124253,green,
ENSG00000100889,green,
ENSG00000152256,green,
ENSG00000005882,green,
ENSG00000067992,green,
ENSG00000004799,green,
ENSG00000162493,green,
ENSG00000115425,green,
ENSG00000132326,green,
ENSG00000162928,green,
ENSG00000164751,green,
ENSG00000139197,green,
ENSG00000112357,green,
ENSG00000107537,green,
ENSG00000083535,green,
ENSG00000103066,green,
ENSG00000170890,green,
ENSG00000100078,green,
ENSG00000116711,green,
ENSG00000168907,green,
ENSG00000137055,green,
ENSG00000214456,green,
ENSG00000123560,green,
ENSG00000100344,green,
ENSG00000135241,green,
ENSG00000127948,green,
ENSG00000186951,green,
ENSG00000112033,green,
ENSG00000132170,green,
ENSG00000109819,green,
ENSG00000132356,green,
ENSG00000162409,green,
ENSG00000111725,green,
ENSG00000131791,green,
ENSG00000181929,green,
ENSG00000106617,green,
ENSG00000115592,green,
ENSG00000005249,green,
ENSG00000157870,green,
ENSG00000107317,green,
ENSG00000284341,green,
ENSG00000148344,green,
ENSG00000148334,green,
ENSG00000110958,green,
ENSG00000124212,green,
ENSG00000140043,green,
ENSG00000095303,green,
ENSG00000073756,green,
ENSG00000130988,green,
ENSG00000114650,green,
ENSG00000130766,green,
ENSG00000166224,green,
ENSG00000096717,green,
ENSG00000089163,green,
ENSG00000100372,green,
ENSG00000130304,green,
ENSG00000140284,green,
ENSG00000143554,green,
ENSG00000167114,green,
ENSG00000083807,green,
ENSG00000113396,green,
ENSG00000158715,green,
ENSG00000145335,green,
ENSG00000176170,green,
ENSG00000072310,green,
ENSG00000059377,green,
ENSG00000099797,green,
ENSG00000205678,green,
ENSG00000159445,green,
ENSG00000196407,green,
ENSG00000144115,green,
ENSG00000067182,green,
ENSG00000168477,green,
ENSG00000164053,green,
ENSG00000213689,green,
ENSG00000101255,green,
ENSG00000122691,green,
ENSG00000107165,green,
ENSG00000156521,green,
ENSG00000175564,green,
ENSG00000142784,green,
ENSG00000035687,green,
ENSG00000169692,green,
ENSG00000143761,green,
ENSG00000115307,green,
ENSG00000163930,green,
ENSG00000168000,green,
ENSG00000204536,green,
ENSG00000145214,green,
ENSG00000116133,green,
ENSG00000178950,green,
ENSG00000106633,green,
ENSG00000119927,green,
ENSG00000204020,green,
ENSG00000160285,green,
ENSG00000161217,green,
ENSG00000102230,green,
ENSG00000184381,green,
ENSG00000177666,green,
ENSG00000174231,green,
ENSG00000171848,green,
ENSG00000138760,green,
ENSG00000107295,green,
ENSG00000198911,green,
ENSG00000120438,green,
ENSG00000011638,green,
ENSG00000213886,green,
ENSG00000179091,orange,mitocarta
ENSG00000117118,orange,
ENSG00000167186,orange,
ENSG00000073578,orange,
ENSG00000010256,orange,
ENSG00000110871,orange,
ENSG00000131828,orange,
ENSG00000088682,orange,
ENSG00000262814,orange,
ENSG00000178741,orange,
ENSG00000165898,orange,
ENSG00000105819,orange,
ENSG00000169021,orange,
ENSG00000105953,orange,
ENSG00000168291,orange,
ENSG00000140740,orange,
ENSG00000204370,orange,
ENSG00000061794,orange,
ENSG00000164405,orange,
ENSG00000204822,orange,
ENSG00000137992,orange,
ENSG00000004799,orange,
ENSG00000146701,orange,
ENSG00000113048,orange,
ENSG00000062485,orange,
ENSG00000109519,orange,
ENSG00000150768,orange,
ENSG00000138095,orange,
ENSG00000119689,orange,
ENSG00000110435,orange,
ENSG00000168827,orange,
ENSG00000143158,orange,
ENSG00000023228,orange,
ENSG00000259494,orange,
ENSG00000075415,orange,
ENSG00000181610,orange,
ENSG00000091483,orange,
ENSG00000165688,orange,
ENSG00000184076,orange,
ENSG00000135070,orange,
ENSG00000136143,orange,
ENSG00000132423,orange,
ENSG00000067704,orange,
ENSG00000116898,orange,
ENSG00000166411,orange,
ENSG00000166260,orange,
ENSG00000171503,orange,
ENSG00000134809,orange,
ENSG00000130312,orange,
ENSG00000112651,orange,
ENSG00000248098,orange,
ENSG00000173660,orange,
ENSG00000146066,orange,
ENSG00000127884,orange,
ENSG00000050426,orange,
ENSG00000111775,orange,
ENSG00000014919,orange,
ENSG00000141385,orange,
ENSG00000084754,orange,
ENSG00000140374,orange,
ENSG00000115286,orange,
ENSG00000157184,orange,
ENSG00000083123,orange,
ENSG00000101365,orange,
ENSG00000011376,orange,
ENSG00000122971,orange,
ENSG00000168924,orange,
ENSG00000198836,orange,
