Gene1,Gene2,Score
ENSG00000057663,ENSG00000145782,0.993907
ENSG00000158402,ENSG00000108953,0.986354
ENSG00000120738,ENSG00000171862,0.967665
ENSG00000177606,ENSG00000171862,0.995424
ENSG00000171862,ENSG00000115966,0.963084
ENSG00000050820,ENSG00000101213,0.993808
ENSG00000131759,ENSG00000186350,0.99919
ENSG00000099250,ENSG00000128052,0.968082
ENSG00000154229,ENSG00000157404,0.973811
ENSG00000135473,ENSG00000152520,0.977619
ENSG00000126456,ENSG00000127445,0.981532
ENSG00000018408,ENSG00000108953,0.97295
ENSG00000186350,ENSG00000132170,0.955187
ENSG00000082701,ENSG00000103126,0.999643
ENSG00000087274,ENSG00000075340,0.979293
ENSG00000160862,ENSG00000159763,0.975427
ENSG00000245848,ENSG00000138795,0.993109
ENSG00000245848,ENSG00000123374,0.995801
ENSG00000135446,ENSG00000245848,0.997564
ENSG00000124762,ENSG00000245848,0.98271
ENSG00000118260,ENSG00000172216,0.997087
ENSG00000158290,ENSG00000129559,0.963678
ENSG00000133703,ENSG00000171552,0.98189
ENSG00000178209,ENSG00000151914,0.988812
ENSG00000080815,ENSG00000162736,0.980662
ENSG00000133226,ENSG00000167978,0.988964
ENSG00000156976,ENSG00000161960,0.999931
ENSG00000144867,ENSG00000182934,0.962097
ENSG00000182718,ENSG00000197747,0.999998
ENSG00000162924,ENSG00000109320,0.992468
ENSG00000157020,ENSG00000138674,0.999133
ENSG00000106089,ENSG00000132639,0.996282
ENSG00000116030,ENSG00000168283,0.974482
ENSG00000169398,ENSG00000197122,0.998743
ENSG00000177606,ENSG00000204103,0.995491
ENSG00000103653,ENSG00000197122,0.95807
ENSG00000106089,ENSG00000220205,0.998245
ENSG00000169398,ENSG00000177885,0.982986
ENSG00000132535,ENSG00000082458,0.994912
ENSG00000166266,ENSG00000129559,0.972055
ENSG00000055130,ENSG00000129559,0.975274
ENSG00000036257,ENSG00000129559,0.964897
ENSG00000167085,ENSG00000215021,0.977602
ENSG00000164754,ENSG00000116030,0.95431
ENSG00000168906,ENSG00000038274,0.987698
ENSG00000168291,ENSG00000131828,0.998886
ENSG00000072401,ENSG00000109332,0.968672
ENSG00000113575,ENSG00000105568,0.997308
ENSG00000143437,ENSG00000116016,0.997194
ENSG00000033800,ENSG00000115415,0.990611
ENSG00000035403,ENSG00000169398,0.989555
ENSG00000096717,ENSG00000141510,0.999607
ENSG00000072401,ENSG00000135679,0.950217
ENSG00000100644,ENSG00000143437,0.996673
ENSG00000106070,ENSG00000069869,0.976099
ENSG00000091831,ENSG00000118046,0.973119
ENSG00000146535,ENSG00000120063,0.999871
ENSG00000110400,ENSG00000130396,0.964233
ENSG00000197943,ENSG00000254087,0.975188
ENSG00000100906,ENSG00000171720,0.985896
ENSG00000164867,ENSG00000080824,0.989682
ENSG00000177606,ENSG00000130522,0.996272
ENSG00000168036,ENSG00000148737,0.995676
ENSG00000158402,ENSG00000166913,0.984735
ENSG00000091831,ENSG00000068024,0.955588
ENSG00000205302,ENSG00000028528,0.986605
ENSG00000080503,ENSG00000245848,0.996871
ENSG00000087586,ENSG00000145715,0.964178
ENSG00000091831,ENSG00000141027,0.996202
ENSG00000154928,ENSG00000090776,0.973917
ENSG00000100811,ENSG00000196591,0.99692
ENSG00000137076,ENSG00000035403,0.999146
ENSG00000149136,ENSG00000073282,0.970413
ENSG00000142208,ENSG00000132155,0.996959
ENSG00000168040,ENSG00000064012,0.999447
ENSG00000179295,ENSG00000130396,0.96608
ENSG00000148400,ENSG00000168214,0.991031
ENSG00000175354,ENSG00000115415,0.989456
ENSG00000142208,ENSG00000196396,0.995726
ENSG00000053747,ENSG00000124145,0.954622
ENSG00000182481,ENSG00000108424,0.972554
ENSG00000130396,ENSG00000130202,0.997308
ENSG00000100393,ENSG00000171223,0.984272
ENSG00000087586,ENSG00000104904,0.985975
ENSG00000091831,ENSG00000115966,0.95154
ENSG00000065675,ENSG00000140992,0.979062
ENSG00000175104,ENSG00000198909,0.999109
ENSG00000127445,ENSG00000141510,0.973246
ENSG00000145335,ENSG00000116288,0.980464
ENSG00000138795,ENSG00000168036,0.976769
ENSG00000136997,ENSG00000078900,0.993427
ENSG00000123349,ENSG00000078900,0.950554
ENSG00000132155,ENSG00000157764,0.980079
ENSG00000119383,ENSG00000113575,0.971232
ENSG00000134982,ENSG00000103126,0.999752
ENSG00000065526,ENSG00000168214,0.964652
ENSG00000141510,ENSG00000129559,0.954005
ENSG00000196781,ENSG00000138795,0.984326
ENSG00000039068,ENSG00000168036,0.999914
ENSG00000113721,ENSG00000100311,0.985104
ENSG00000147443,ENSG00000145715,0.998825
ENSG00000198561,ENSG00000039068,0.97074
ENSG00000050820,ENSG00000167193,0.989565
ENSG00000134982,ENSG00000168036,0.9999
ENSG00000141646,ENSG00000091831,0.979908
ENSG00000177707,ENSG00000130396,0.996759
ENSG00000164683,ENSG00000168214,0.962158
ENSG00000163517,ENSG00000094631,0.993366
ENSG00000171223,ENSG00000075426,0.95764
ENSG00000105810,ENSG00000110092,0.996398
ENSG00000197702,ENSG00000166333,0.994621
ENSG00000168036,ENSG00000166167,0.989805
ENSG00000166333,ENSG00000169756,0.981102
ENSG00000131462,ENSG00000101004,0.982487
ENSG00000080824,ENSG00000141736,0.987092
ENSG00000120693,ENSG00000141646,0.997765
ENSG00000123416,ENSG00000137267,0.990229
ENSG00000147601,ENSG00000173273,0.987709
ENSG00000171720,ENSG00000168610,0.994595
ENSG00000050820,ENSG00000196396,0.992337
