ID,custom_color,
ENSG00000168827,brown,
ENSG00000143158,brown,
ENSG00000023228,brown,
ENSG00000259494,brown,
ENSG00000075415,brown,
ENSG00000181610,brown,
ENSG00000091483,brown,
ENSG00000165688,brown,
ENSG00000184076,brown,
ENSG00000135070,brown,
ENSG00000136143,brown,
ENSG00000132423,brown,
ENSG00000067704,brown,
ENSG00000116898,brown,
ENSG00000166411,brown,
ENSG00000166260,brown,
ENSG00000171503,brown,
ENSG00000134809,brown,
ENSG00000130312,brown,
ENSG00000112651,brown,
ENSG00000248098,brown,
ENSG00000173660,brown,
ENSG00000146066,brown,
ENSG00000127884,brown,
ENSG00000050426,brown,
ENSG00000111775,brown,
ENSG00000014919,brown,
ENSG00000141385,brown,
ENSG00000084754,brown,
ENSG00000140374,brown,
ENSG00000115286,brown,
ENSG00000157184,brown,
ENSG00000083123,brown,
ENSG00000101365,brown,
ENSG00000011376,brown,
ENSG00000122971,brown,
ENSG00000168924,brown,
ENSG00000198836,brown,
ENSG00000148090,brown,
ENSG00000163541,brown,
ENSG00000178127,brown,
ENSG00000119723,brown,
ENSG00000055950,brown,
ENSG00000106077,brown,
ENSG00000154723,brown,
ENSG00000166136,brown,
ENSG00000255339,brown,
ENSG00000196365,brown,
ENSG00000091140,brown,
ENSG00000156709,brown,
ENSG00000134463,brown,
ENSG00000155008,brown,
ENSG00000159111,brown,
ENSG00000148187,brown,
ENSG00000110717,brown,
ENSG00000117054,brown,
ENSG00000132305,brown,
ENSG00000100575,brown,
ENSG00000151729,brown,
ENSG00000100347,brown,
ENSG00000158864,brown,
ENSG00000167792,brown,
ENSG00000100412,brown,
ENSG00000156502,brown,
ENSG00000066926,brown,
ENSG00000085760,brown,
ENSG00000167085,brown,
ENSG00000198130,brown,
ENSG00000122140,brown,
ENSG00000113013,brown,
ENSG00000148290,brown,
ENSG00000165672,brown,
ENSG00000165678,brown,
ENSG00000151806,brown,
ENSG00000099800,brown,
ENSG00000214113,brown,
ENSG00000166902,brown,
ENSG00000185608,brown,
ENSG00000067829,brown,
ENSG00000143252,brown,
ENSG00000136521,brown,
ENSG00000167985,brown,
ENSG00000256591,brown,
ENSG00000135469,brown,
ENSG00000100348,brown,
ENSG00000096080,brown,
ENSG00000164919,brown,
ENSG00000147684,brown,
ENSG00000109919,brown,
ENSG00000184983,brown,
ENSG00000178537,brown,
ENSG00000169288,brown,
ENSG00000104980,brown,
ENSG00000138495,brown,
ENSG00000112096,brown,
ENSG00000126267,brown,
ENSG00000213585,brown,
ENSG00000125656,brown,
ENSG00000138796,brown,
ENSG00000115361,brown,
ENSG00000075239,brown,
ENSG00000156928,brown,
ENSG00000166855,brown,
ENSG00000164258,brown,
ENSG00000105364,brown,
ENSG00000108561,brown,
ENSG00000107959,brown,
ENSG00000101019,brown,
ENSG00000162910,brown,
ENSG00000278619,brown,
ENSG00000116353,brown,
ENSG00000135900,brown,
ENSG00000119471,brown,
