ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000160439,-0.47,-1.48,-1.58,-0.61,-1.86,DOWN,DOWN
ENSG00000011243,0.33,1.05,0.31,1.07,1.86,NONE,NONE
ENSG00000163956,-0.33,-1.48,-0.14,-0.85,-1.83,NONE,NONE
ENSG00000170855,-0.38,-1.09,-0.87,-0.33,-1.8,NONE,NONE
ENSG00000174405,-0.57,-0.32,-0.35,-1.19,-1.79,NONE,NONE
ENSG00000013288,-1.29,-1.54,-0.76,-2.23,-1.79,NONE,NONE
ENSG00000120896,0.55,0.36,1.68,0.57,1.77,NONE,NONE
ENSG00000133101,-0.46,-0.38,-1.72,0,-1.77,NONE,DOWN
ENSG00000182240,-0.01,0.21,0.79,0.59,1.77,UP,UP
ENSG00000113575,-1.04,-1.17,-1.36,-1.49,-1.76,NONE,NONE
ENSG00000082701,-0.61,-0.31,-1.04,-0.98,-1.75,NONE,NONE
ENSG00000171314,-0.81,-0.62,-0.39,-2.78,-1.75,NONE,NONE
ENSG00000101266,-0.89,-0.45,-0.59,-1.93,-1.74,NONE,NONE
ENSG00000183431,-0.97,-1.26,-0.6,-1.53,-1.74,NONE,NONE
ENSG00000198742,-1.03,-1.07,-0.57,-2.28,-1.72,NONE,NONE
ENSG00000114698,0.06,0.96,1.48,-0.26,1.71,NONE,UP
ENSG00000142168,-0.99,-0.78,-1.35,-1.91,-1.7,NONE,NONE
ENSG00000120088,-0.27,-1.07,-1.86,0.28,-1.69,NONE,NONE
ENSG00000144028,0.15,1.16,0.6,1.16,1.69,NONE,NONE
ENSG00000174437,-0.39,-0.59,-0.45,-1.92,-1.67,NONE,NONE
ENSG00000083312,1.12,1.77,3.8,0.48,1.66,NONE,UP
ENSG00000178896,-0.19,-1.46,-1.04,-0.14,-1.66,NONE,NONE
ENSG00000141367,-1.08,-0.73,-0.76,-1.97,-1.66,NONE,NONE
ENSG00000182810,-0.28,-1.38,-1.27,0,-1.65,NONE,NONE
ENSG00000120875,-1.74,-1.02,-0.88,-1.31,-1.63,DOWN,DOWN
ENSG00000134352,0.1,0.88,1.9,0.41,1.63,NONE,NONE
ENSG00000105193,0.12,0.77,1.25,0.15,1.61,NONE,NONE
ENSG00000143753,0.96,1.43,1.56,1.25,1.57,NONE,NONE
ENSG00000138834,-0.18,-1.12,-0.15,-2.02,-1.57,NONE,NONE
ENSG00000113749,-0.8,-0.55,-1.29,-0.16,-1.55,UP,NONE
ENSG00000156531,0.53,1.65,0.5,0.19,1.53,NONE,NONE
