ID,logFC_CBE_Mayo,custom_direction_CBE_Mayo,logFC_TCX_Mayo,direction_TCX_Mayo
ENSG00000171603,0.162542015,NONE,-0.061711201,NONE
ENSG00000241563,NA,NA,NA,NA
ENSG00000224051,-0.166087005,NONE,0.024935444,NONE
ENSG00000058453,-0.049019828,NONE,-0.030946587,NONE
ENSG00000215908,0.114423175,NONE,-0.146765385,NONE
ENSG00000080947,-0.055535246,NONE,-0.065861292,NONE
ENSG00000178585,-0.148672884,NONE,-0.198773594,NONE
ENSG00000197312,-0.073574699,NONE,-0.224582142,NONE
ENSG00000244038,0.14982806,NONE,0.058633401,NONE
ENSG00000160049,-0.00632254,NONE,0.141632013,NONE
ENSG00000169598,0.036091082,NONE,-0.086595726,NONE
ENSG00000162496,0.07961497,NONE,0.503723001,UP
ENSG00000204624,-0.191420938,NONE,-0.013588933,NONE
ENSG00000007923,0.129370015,NONE,-0.048525263,NONE
ENSG00000116138,-0.045855026,NONE,-0.119461828,NONE
ENSG00000162490,-0.123856555,NONE,0.297216593,NONE
ENSG00000107404,-0.024610769,NONE,0.161030715,NONE
ENSG00000117298,0.178281249,NONE,0.425999456,UP
ENSG00000142634,0.180018232,NONE,-0.033917404,NONE
ENSG00000236698,NA,NA,NA,NA
ENSG00000075151,-0.021571042,NONE,-0.222025519,NONE
ENSG00000127463,-0.043045505,NONE,-0.158249697,NONE
ENSG00000074800,0.251564357,NONE,0.3859079,UP
ENSG00000142627,0.463702831,UP,0.719114646,UP
ENSG00000070886,-0.496319003,Down,-0.198559982,NONE
ENSG00000133216,0.064402054,NONE,-0.334048532,DOWN
ENSG00000116285,-0.039112697,NONE,0.149714567,NONE
ENSG00000187017,0.053877579,NONE,-0.008600562,NONE
ENSG00000171824,-0.061959611,NONE,0.016712559,NONE
ENSG00000162585,-0.013663505,NONE,-0.090912784,NONE
ENSG00000185519,-0.114826518,NONE,0.08614272,NONE
ENSG00000157870,0.042640781,NONE,0.041130515,NONE
ENSG00000183114,0.143155028,NONE,0.22810826,NONE
ENSG00000162458,0.185772959,NONE,0.440486077,UP
ENSG00000116661,0.21448338,NONE,0.391061911,UP
ENSG00000037637,-0.022571246,NONE,-0.006431964,NONE
ENSG00000132879,0.030073348,NONE,-0.038497655,NONE
ENSG00000116663,0.056374934,NONE,0.105486843,NONE
ENSG00000142621,0.174318075,NONE,-0.395371856,DOWN
ENSG00000228594,-0.522876432,Down,-0.205202696,NONE
ENSG00000187730,-0.068200405,NONE,-0.400549442,DOWN
ENSG00000078369,0.131070607,NONE,-0.016133019,NONE
ENSG00000158292,-0.057205155,NONE,0.033521077,NONE
ENSG00000180758,-0.022042549,NONE,0.187057069,NONE
ENSG00000049239,-0.301479528,Down,-0.008020529,NONE
ENSG00000188290,0.020354952,NONE,-0.343695787,DOWN
ENSG00000273529,NA,NA,NA,NA
ENSG00000127483,-0.021505917,NONE,0.097909584,NONE
ENSG00000173641,-0.100684254,NONE,0.806439372,UP
ENSG00000142798,0.408412902,UP,0.576509328,UP
ENSG00000179546,0.285900841,NONE,0.065813297,NONE
ENSG00000116237,-0.09352182,NONE,0.132661888,NONE
ENSG00000169991,0.058796163,NONE,0.012109137,NONE
ENSG00000117154,-0.081029564,NONE,0.039268987,NONE
ENSG00000127054,-0.035559615,NONE,-0.080755547,NONE
ENSG00000187608,0.158463536,NONE,0.05038315,NONE
ENSG00000189337,0.106753465,NONE,-0.245894912,NONE
ENSG00000234593,NA,NA,NA,NA
ENSG00000069424,-0.117920031,NONE,-0.152356005,NONE
