Gene,Target,Custom_Color_Target,Custom_Color_Seed
ENSG00000128626,MitoCarta,Blue,
ENSG00000162129,MitoCarta,Blue,
ENSG00000152256,MitoCarta,Blue,
ENSG00000149792,MitoCarta,Blue,
ENSG00000112695,MitoCarta,Blue,
ENSG00000171202,MitoCarta,Blue,
ENSG00000121310,MitoCarta,Blue,
ENSG00000004961,MitoCarta,Blue,
ENSG00000106049,MitoCarta,Blue,
ENSG00000115364,MitoCarta,Blue,
ENSG00000171421,MitoCarta,Blue,
ENSG00000174032,MitoCarta,Blue,
ENSG00000161267,MitoCarta,Blue,
ENSG00000145982,MitoCarta,Blue,
ENSG00000131269,MitoCarta,Blue,
ENSG00000173171,MitoCarta,Blue,
ENSG00000267855,MitoCarta,Blue,
ENSG00000134375,MitoCarta,Blue,
ENSG00000143149,MitoCarta,Blue,
ENSG00000163319,MitoCarta,Blue,
ENSG00000247626,MitoCarta,Blue,
ENSG00000119711,MitoCarta,Blue,
ENSG00000161513,MitoCarta,Blue,
ENSG00000257218,MitoCarta,Blue,
ENSG00000126602,MitoCarta,Blue,
ENSG00000151498,MitoCarta,Blue,
ENSG00000111275,MitoCarta,Blue,
ENSG00000108179,MitoCarta,Blue,
ENSG00000177370,MitoCarta,Blue,
ENSG00000128928,MitoCarta,Blue,
ENSG00000087299,MitoCarta,Blue,
ENSG00000105755,MitoCarta,Blue,
ENSG00000242485,MitoCarta,Blue,
ENSG00000005022,MitoCarta,Blue,
ENSG00000115840,MitoCarta,Blue,
ENSG00000266472,MitoCarta,Blue,
ENSG00000100216,MitoCarta,Blue,
ENSG00000167315,MitoCarta,Blue,
ENSG00000185414,MitoCarta,Blue,
ENSG00000103423,MitoCarta,Blue,
ENSG00000090266,MitoCarta,Blue,
ENSG00000074071,MitoCarta,Blue,
ENSG00000105379,MitoCarta,Blue,
ENSG00000135537,MitoCarta,Blue,
ENSG00000130770,MitoCarta,Blue,
ENSG00000116459,MitoCarta,Blue,
ENSG00000127184,MitoCarta,Blue,
ENSG00000106554,MitoCarta,Blue,
ENSG00000115520,MitoCarta,Blue,
ENSG00000176715,MitoCarta,Blue,
ENSG00000004142,MitoCarta,Blue,
ENSG00000183048,MitoCarta,Blue,
ENSG00000004864,MitoCarta,Blue,
ENSG00000067992,MitoCarta,Blue,
ENSG00000151376,MitoCarta,Blue,
ENSG00000082515,MitoCarta,Blue,
ENSG00000182054,MitoCarta,Blue,
ENSG00000105607,MitoCarta,Blue,
ENSG00000136522,MitoCarta,Blue,
ENSG00000138777,MitoCarta,Blue,
ENSG00000143436,MitoCarta,Blue,
ENSG00000250479,MitoCarta,Blue,
ENSG00000116874,MitoCarta,Blue,
ENSG00000125454,MitoCarta,Blue,
ENSG00000145439,MitoCarta,Blue,
ENSG00000183172,MitoCarta,Blue,
ENSG00000063854,MitoCarta,Blue,
ENSG00000161281,MitoCarta,Blue,
ENSG00000148824,MitoCarta,Blue,
ENSG00000178449,MitoCarta,Blue,
ENSG00000184752,MitoCarta,Blue,
ENSG00000182180,MitoCarta,Blue,
ENSG00000120832,MitoCarta,Blue,
ENSG00000205707,MitoCarta,Blue,
ENSG00000115159,MitoCarta,Blue,
ENSG00000130414,MitoCarta,Blue,
ENSG00000151366,MitoCarta,Blue,
ENSG00000119705,MitoCarta,Blue,
ENSG00000198899,MitoCarta,Blue,
ENSG00000198712,MitoCarta,Blue,
ENSG00000075336,MitoCarta,Blue,
ENSG00000119421,MitoCarta,Blue,
ENSG00000115419,MitoCarta,Blue,
ENSG00000147123,MitoCarta,Blue,
ENSG00000181192,MitoCarta,Blue,
ENSG00000115042,MitoCarta,Blue,
ENSG00000112474,MitoCarta,Blue,
ENSG00000137133,MitoCarta,Blue,
ENSG00000144029,MitoCarta,Blue,
ENSG00000204564,MitoCarta,Blue,
ENSG00000176422,MitoCarta,Blue,
ENSG00000175536,MitoCarta,Blue,
ENSG00000104325,MitoCarta,Blue,
ENSG00000125901,MitoCarta,Blue,
ENSG00000102743,MitoCarta,Blue,
ENSG00000160194,MitoCarta,Blue,
ENSG00000137274,MitoCarta,Blue,
ENSG00000165283,MitoCarta,Blue,
ENSG00000148450,MitoCarta,Blue,
ENSG00000103642,MitoCarta,Blue,
ENSG00000130204,MitoCarta,Blue,
ENSG00000148339,MitoCarta,Blue,
ENSG00000173137,MitoCarta,Blue,
ENSG00000111271,MitoCarta,Blue,
ENSG00000102763,MitoCarta,Blue,
ENSG00000137500,MitoCarta,Blue,
ENSG00000007923,MitoCarta,Blue,
ENSG00000125652,MitoCarta,Blue,
ENSG00000178445,MitoCarta,Blue,
ENSG00000238205,MitoCarta,Blue,
ENSG00000159445,MitoCarta,Blue,
ENSG00000106028,MitoCarta,Blue,
ENSG00000108826,MitoCarta,Blue,
ENSG00000100209,MitoCarta,Blue,
ENSG00000048544,MitoCarta,Blue,
ENSG00000162433,MitoCarta,Blue,
ENSG00000197785,MitoCarta,Blue,
ENSG00000116221,MitoCarta,Blue,
ENSG00000148334,MitoCarta,Blue,
ENSG00000184470,MitoCarta,Blue,
ENSG00000183549,MitoCarta,Blue,
ENSG00000122873,MitoCarta,Blue,
ENSG00000182154,MitoCarta,Blue,
ENSG00000117791,MitoCarta,Blue,
ENSG00000243927,MitoCarta,Blue,
ENSG00000214026,MitoCarta,Blue,
ENSG00000137767,MitoCarta,Blue,
ENSG00000133028,MitoCarta,Blue,
ENSG00000100116,MitoCarta,Blue,
ENSG00000120254,MitoCarta,Blue,
ENSG00000198721,MitoCarta,Blue,
ENSG00000156467,MitoCarta,Blue,
ENSG00000167863,MitoCarta,Blue,
ENSG00000167283,MitoCarta,Blue,
ENSG00000160124,MitoCarta,Blue,
ENSG00000131844,MitoCarta,Blue,
ENSG00000124370,MitoCarta,Blue,
ENSG00000124615,MitoCarta,Blue,
ENSG00000146085,MitoCarta,Blue,
ENSG00000122696,MitoCarta,Blue,
ENSG00000197912,MitoCarta,Blue,
ENSG00000154518,MitoCarta,Blue,
ENSG00000138138,MitoCarta,Blue,
ENSG00000154814,MitoCarta,Blue,
ENSG00000101181,MitoCarta,Blue,
ENSG00000117593,MitoCarta,Blue,
ENSG00000111639,MitoCarta,Blue,
ENSG00000173599,MitoCarta,Blue,
ENSG00000125246,MitoCarta,Blue,
ENSG00000135241,MitoCarta,Blue,
ENSG00000103150,MitoCarta,Blue,
ENSG00000145337,MitoCarta,Blue,
ENSG00000126768,MitoCarta,Blue,
ENSG00000106591,MitoCarta,Blue,
ENSG00000144741,MitoCarta,Blue,
ENSG00000250799,MitoCarta,Blue,
ENSG00000114021,MitoCarta,Blue,
ENSG00000267673,MitoCarta,Blue,
ENSG00000082212,MitoCarta,Blue,
ENSG00000178952,MitoCarta,Blue,
ENSG00000156885,MitoCarta,Blue,
ENSG00000014824,MitoCarta,Blue,
ENSG00000144559,MitoCarta,Blue,
ENSG00000265354,MitoCarta,Blue,
ENSG00000155906,MitoCarta,Blue,
ENSG00000116688,MitoCarta,Blue,
ENSG00000213221,MitoCarta,Blue,
ENSG00000163528,MitoCarta,Blue,
ENSG00000004779,MitoCarta,Blue,
ENSG00000166743,MitoCarta,Blue,
ENSG00000183513,MitoCarta,Blue,
ENSG00000173085,MitoCarta,Blue,
ENSG00000164494,MitoCarta,Blue,
ENSG00000113790,MitoCarta,Blue,
ENSG00000213619,MitoCarta,Blue,
ENSG00000135776,MitoCarta,Blue,
ENSG00000131730,MitoCarta,Blue,
ENSG00000131368,MitoCarta,Blue,
ENSG00000177646,MitoCarta,Blue,
ENSG00000133983,MitoCarta,Blue,
ENSG00000177150,MitoCarta,Blue,
ENSG00000112304,MitoCarta,Blue,
ENSG00000110090,MitoCarta,Blue,
ENSG00000157326,MitoCarta,Blue,
ENSG00000186314,MitoCarta,Blue,
ENSG00000134905,MitoCarta,Blue,
ENSG00000146729,MitoCarta,Blue,
ENSG00000099795,MitoCarta,Blue,
ENSG00000174917,MitoCarta,Blue,
ENSG00000023572,MitoCarta,Blue,
ENSG00000112996,MitoCarta,Blue,
ENSG00000284194,MitoCarta,Blue,
ENSG00000072506,MitoCarta,Blue,
ENSG00000137513,MitoCarta,Blue,
ENSG00000156990,MitoCarta,Blue,
ENSG00000139531,MitoCarta,Blue,
ENSG00000123453,MitoCarta,Blue,
ENSG00000132541,MitoCarta,Blue,
ENSG00000176340,MitoCarta,Blue,
ENSG00000116096,MitoCarta,Blue,
ENSG00000115204,MitoCarta,Blue,
ENSG00000180011,MitoCarta,Blue,
ENSG00000112110,MitoCarta,Blue,
ENSG00000137124,MitoCarta,Blue,
ENSG00000172586,MitoCarta,Blue,
ENSG00000126953,MitoCarta,Blue,
ENSG00000078668,MitoCarta,Blue,
ENSG00000085491,MitoCarta,Blue,
ENSG00000060762,MitoCarta,Blue,
ENSG00000177542,MitoCarta,Blue,
ENSG00000151475,MitoCarta,Blue,
ENSG00000182902,MitoCarta,Blue,
ENSG00000072756,MitoCarta,Blue,
ENSG00000119912,MitoCarta,Blue,
ENSG00000197448,MitoCarta,Blue,
ENSG00000137411,MitoCarta,Blue,
ENSG00000115541,MitoCarta,Blue,
ENSG00000183617,MitoCarta,Blue,
ENSG00000204316,MitoCarta,Blue,
ENSG00000167862,MitoCarta,Blue,
ENSG00000137409,MitoCarta,Blue,
ENSG00000170855,MitoCarta,Blue,
ENSG00000132300,MitoCarta,Blue,
ENSG00000006695,MitoCarta,Blue,
ENSG00000121057,MitoCarta,Blue,
ENSG00000171861,MitoCarta,Blue,
ENSG00000004455,MitoCarta,Blue,
ENSG00000175606,MitoCarta,Blue,
ENSG00000084092,MitoCarta,Blue,
ENSG00000050393,MitoCarta,Blue,
ENSG00000111843,MitoCarta,Blue,
ENSG00000109390,MitoCarta,Blue,
ENSG00000132313,MitoCarta,Blue,
ENSG00000170906,MitoCarta,Blue,
ENSG00000148459,MitoCarta,Blue,
